23,11700000,0
1,11700000,10000000
0,11700000,12000000
0,11700000,14000000
28,11700000,2000000
7,11700000,4000000
5,11700000,6000000
3,11700000,8000000
22,14500000,0
0,14500000,10000000
0,14500000,12000000
0,14500000,14000000
15,14500000,2000000
8,14500000,4000000
4,14500000,6000000
0,14500000,8000000
24,17300000,0
0,17300000,10000000
1,17300000,12000000
1,17300000,14000000
19,17300000,2000000
3,17300000,4000000
2,17300000,6000000
0,17300000,8000000
17,20100000,0
0,20100000,10000000
0,20100000,12000000
0,20100000,14000000
9,20100000,2000000
2,20100000,4000000
0,20100000,6000000
0,20100000,8000000
10,22900000,0
0,22900000,10000000
0,22900000,12000000
0,22900000,14000000
11,22900000,2000000
4,22900000,4000000
0,22900000,6000000
0,22900000,8000000
62,8900000,0
10,8900000,10000000
0,8900000,12000000
0,8900000,14000000
41,8900000,2000000
25,8900000,4000000
9,8900000,6000000
7,8900000,8000000
